_id,dc_toy_num,dc_img_url,dc_img_url_sized,dc_model_name,dc_bin_num,dc_series,dc_color,dc_year,dc_series_num,dc_collector_num,dc_favourite,dc_notes,dc_duplicate,createdBy,dc_date_added,dc_treasure_hunt,dc_damaged
560370a2d62d105a0c933376,14913,http://static.christanfergus.com/images/diecast/DSC00719.JPG,http://static.christanfergus.com/images/diecast-sized/DSC00719_sized.JPG,STREET CLEAVER,1A,1996 FIRST EDITIONS,,1996,4/12/2015,373,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c933377,14914-0910G1,http://static.christanfergus.com/images/diecast/DSC00758.JPG,http://static.christanfergus.com/images/diecast-sized/DSC00758_sized.JPG,RADIO FLYER WAGON,1A,1996 FIRST EDITIONS,,1996,9/12/2015,374,,POSSIBLE DEFECT-MADE IN CHINA,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c933378,14914-0918,http://static.christanfergus.com/images/diecast/DSC00760.JPG,http://static.christanfergus.com/images/diecast-sized/DSC00760_sized.JPG,RADIO FLYER WAGON,1A,1996 FIRST EDITIONS,,1996,9/12/2015,374,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c933379,14916,http://static.christanfergus.com/images/diecast/DSC00762.JPG,http://static.christanfergus.com/images/diecast-sized/DSC00762_sized.JPG,TWANG THANG,1A,1996 FIRST EDITIONS,,1996,11/12/2015,376,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c93337a,14910,http://static.christanfergus.com/images/diecast/DSC00764.JPG,http://static.christanfergus.com/images/diecast-sized/DSC00764_sized.JPG,RAIL RODDER,1A,1996 FIRST EDITIONS,,1996,5/12/2015,370,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c93337b,14915,http://static.christanfergus.com/images/diecast/DSC00766.JPG,http://static.christanfergus.com/images/diecast-sized/DSC00766_sized.JPG,DOGFIGHTER,1A,1996 FIRST EDITIONS,,1996,10/12/2015,375,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c93337c,14907,http://static.christanfergus.com/images/diecast/DSC00768.JPG,http://static.christanfergus.com/images/diecast-sized/DSC00768_sized.JPG,CHEVY 1500,1A,1996 FIRST EDITIONS,,1996,2/12/2015,367,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c93337d,14917,http://static.christanfergus.com/images/diecast/DSC00770.JPG,http://static.christanfergus.com/images/diecast-sized/DSC00770_sized.JPG,FERRARI F50,1A,1996 FIRST EDITIONS,RED,1996,12/12/2015,377,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c93337e,14908,http://static.christanfergus.com/images/diecast/DSC00772.JPG,http://static.christanfergus.com/images/diecast-sized/DSC00772_sized.JPG,1970 DODGE CHARGER DAYTONA,1A,1996 FIRST EDITIONS,,1996,3/12/2015,382,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c93337f,14909,http://static.christanfergus.com/images/diecast/DSC00774.JPG,http://static.christanfergus.com/images/diecast-sized/DSC00774_sized.JPG,SIZZLERS,1A,1996 FIRST EDITIONS,,1996,8/12/2015,369,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c933380,14911,http://static.christanfergus.com/images/diecast/DSC00776.JPG,http://static.christanfergus.com/images/diecast-sized/DSC00776_sized.JPG,ROAD ROCKET,1A,1996 FIRST EDITIONS,,1996,7/12/2015,371,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c933381,16671,http://static.christanfergus.com/images/diecast/DSC00711.JPG,http://static.christanfergus.com/images/diecast-sized/DSC00711_sized.JPG,BMW M ROADSTER,1A,1997 FIRST EDITIONS,SILVER,1997,6/12/2015,518,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c933382,16662,http://static.christanfergus.com/images/diecast/DSC00782.JPG,http://static.christanfergus.com/images/diecast-sized/DSC00782_sized.JPG,FIREBIRD FUNNY CAR,1A,1997 FIRST EDITIONS,,1997,1/12/2015,509,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c933383,16666,http://static.christanfergus.com/images/diecast/DSC00784.JPG,http://static.christanfergus.com/images/diecast-sized/DSC00784_sized.JPG,FORD F-150,1A,1997 FIRST EDITIONS,,1997,2/12/2015,513,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c933384,16673,http://static.christanfergus.com/images/diecast/DSC00786.JPG,http://static.christanfergus.com/images/diecast-sized/DSC00786_sized.JPG,SALTFLAT RACER,1A,1997 FIRST EDITIONS,,1997,4/12/2015,520,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c933385,16670,http://static.christanfergus.com/images/diecast/DSC00788.JPG,http://static.christanfergus.com/images/diecast-sized/DSC00788_sized.JPG,59 CHEVY IMPALA,1A,1997 FIRST EDITIONS,,1997,5/12/2015,517,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c933386,16667,http://static.christanfergus.com/images/diecast/DSC00790.JPG,http://static.christanfergus.com/images/diecast-sized/DSC00790_sized.JPG,WAY 2 FAST,1A,1997 FIRST EDITIONS,,1997,7/12/2015,514,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c933387,16669,http://static.christanfergus.com/images/diecast/DSC00792.JPG,http://static.christanfergus.com/images/diecast-sized/DSC00792_sized.JPG,MERCEDES C-CLASS,1A,1997 FIRST EDITIONS,,1997,10/12/2015,516,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c933388,16668,http://static.christanfergus.com/images/diecast/DSC00794.JPG,http://static.christanfergus.com/images/diecast-sized/DSC00794_sized.JPG,97 CORVETTE,1A,1997 FIRST EDITIONS,,1997,11/12/2015,515,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c933389,18143,http://static.christanfergus.com/images/diecast/DSC01041.JPG,http://static.christanfergus.com/images/diecast-sized/DSC01041_sized.JPG,ESCORT RALLY,1A,1998 FIRST EDITIONS,WHITE,1997,1/48,637,TRUE,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c93338a,18545,http://static.christanfergus.com/images/diecast/DSC00667.JPG,http://static.christanfergus.com/images/diecast-sized/DSC00667_sized.JPG,PANOZ GTR-1,1A,1998 FIRST EDITIONS,WHITE,1998,19/40,657,TRUE,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c93338b,18531,http://static.christanfergus.com/images/diecast/DSC00800.JPG,http://static.christanfergus.com/images/diecast-sized/DSC00800_sized.JPG,CHAPARRAL 2,1A,1998 FIRST EDITIONS,WHITE,1998,28/40,669,TRUE,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c93338c,18144,http://static.christanfergus.com/images/diecast/IMG_20150823_114937.jpg,http://static.christanfergus.com/images/diecast-sized/IMG_20150823_114937_sized.jpg,JAGUAR D-TYPE,1A,1998 FIRST EDITIONS,BLUE,1998,6/48,638,TRUE,,,PDigwodDLwByNXtBS,7/23/2015,,
560370a2d62d105a0c93338d,18535,http://static.christanfergus.com/images/diecast/DSC00796.JPG,http://static.christanfergus.com/images/diecast-sized/DSC00796_sized.JPG,70 ROADRUNNER,1A,1998 FIRST EDITIONS,,1998,17/40,661,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c93338e,18674,http://static.christanfergus.com/images/diecast/DSC00798.JPG,http://static.christanfergus.com/images/diecast-sized/DSC00798_sized.JPG,40 FORD,1A,1998 FIRST EDITIONS,,1998,20/40,654,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c93338f,18850,http://static.christanfergus.com/images/diecast/DSC00802.JPG,http://static.christanfergus.com/images/diecast-sized/DSC00802_sized.JPG,FORD GT-90,1A,1998 FIRST EDITIONS,,1998,14/40,668,,,,PDigwodDLwByNXtBS,,,
560370a2d62d105a0c933390,18530,http://static.christanfergus.com/images/diecast/DSC00804.JPG,http://static.christanfergus.com/images/diecast-sized/DSC00804_sized.JPG,MERCEDES SLK,1A,1998 FIRST EDITIONS,,1998,11/40,646,,,,PDigwodDLwByNXtBS,,,
